q_pip,q_dip,q_linkage_base,q_linkage_distal
1.221730476396030579e-01,-3.116491883748548908e-01,-2.587216010772452890e-01,1.751006349372126181e-01
1.239183768915973899e-01,-3.155485346775757094e-01,-2.621120468607474052e-01,1.773548647084255414e-01
1.256637061435917080e-01,-3.194366492767923837e-01,-2.654954557738729015e-01,1.796048996465109404e-01
1.274090353955860400e-01,-3.233136358421839773e-01,-2.688718657567004122e-01,1.818508054810701324e-01
1.291543646475803719e-01,-3.271795957862178028e-01,-2.722413139629953349e-01,1.840926464708023680e-01
1.308996938995747039e-01,-3.310346283329641537e-01,-2.756038367853039794e-01,1.863304854472351835e-01
1.326450231515690359e-01,-3.348788305842811397e-01,-2.789594698790693883e-01,1.885643838567805375e-01
1.343903524035633679e-01,-3.387122975835765715e-01,-2.823082481858647519e-01,1.907944018012748266e-01
1.361356816555576998e-01,-3.425351223771908593e-01,-2.856502059557435302e-01,1.930205980770050012e-01
1.378810109075520318e-01,-3.463473960735727886e-01,-2.889853767687800001e-01,1.952430302123451256e-01
1.396263401595463360e-01,-3.501492079002703761e-01,-2.923137935558033362e-01,1.974617545040135980e-01
1.413716694115406680e-01,-3.539406452588940155e-01,-2.956354886183873987e-01,1.996768260520478400e-01
1.431169986635350000e-01,-3.577217937781060897e-01,-2.989504936481095498e-01,2.018882987935315398e-01
1.448623279155293320e-01,-3.614927373647107700e-01,-3.022588397451144715e-01,2.040962255351255195e-01
1.466076571675236639e-01,-3.652535582529830016e-01,-3.055605574360251708e-01,2.063006579844817168e-01
1.483529864195179959e-01,-3.690043370522229083e-01,-3.088556766911993989e-01,2.085016467805416163e-01
1.500983156715123279e-01,-3.727451527926848307e-01,-3.121442269413949866e-01,2.106992415228021720e-01
1.518436449235066599e-01,-3.764760829699294042e-01,-3.154262370938436533e-01,2.128934907995918557e-01
1.535889741755009918e-01,-3.801972035876124423e-01,-3.187017355477577141e-01,2.150844422153554980e-01
1.553343034274953238e-01,-3.839085891988638366e-01,-3.219707502093109852e-01,2.172721424170478421e-01
1.570796326794896558e-01,-3.876103129462240560e-01,-3.252333085060916673e-01,2.194566371196224885e-01
1.588249619314839600e-01,-3.913024466002856805e-01,-3.284894374010773888e-01,2.216379711306921685e-01
1.605702911834782920e-01,-3.949850605969960071e-01,-3.317391634061168659e-01,2.238161883743572389e-01
1.623156204354726240e-01,-3.986582240737517324e-01,-3.349825125949670301e-01,2.259913319142570209e-01
