q_pip,q_dip,q_linkage_base,q_linkage_distal
4.433136300065596558e-01,-8.959470524327137753e-01,-7.860962310366503836e-01,5.531644514026230475e-01
4.450589592585539878e-01,-8.985670876095022130e-01,-7.885121460364339363e-01,5.551139008316221535e-01
4.468042885105483197e-01,-9.011823299097496687e-01,-7.909238561529008393e-01,5.570627622673973711e-01
4.485496177625426517e-01,-9.037927931993858799e-01,-7.933313705142031047e-01,5.590110404477250938e-01
4.502949470145369837e-01,-9.063984912816547279e-01,-7.957346982306323646e-01,5.609587400655593470e-01
4.520402762665313157e-01,-9.089994378978136780e-01,-7.981338483947384432e-01,5.629058657696064394e-01
4.537856055185256476e-01,-9.115956467278221176e-01,-8.005288300814576985e-01,5.648524221648898447e-01
4.555309347705199796e-01,-9.141871313910212571e-01,-8.029196523482271530e-01,5.667984138133137506e-01
4.572762640225143116e-01,-9.167739054467931581e-01,-8.053063242350999573e-01,5.687438452342075124e-01
4.590215932745086436e-01,-9.193559823952197618e-01,-8.076888547648577443e-01,5.706887209048705500e-01
4.607669225265029755e-01,-9.219333756777166045e-01,-8.100672529431176550e-01,5.726330452611017030e-01
4.625122517784973075e-01,-9.245060986776709733e-01,-8.124415277584398076e-01,5.745768226977285842e-01
4.642575810304916395e-01,-9.270741647210520853e-01,-8.148116881824236657e-01,5.765200575691200591e-01
4.660029102824859160e-01,-9.296375870770283711e-01,-8.171777431698137306e-01,5.784627541897000569e-01
4.677482395344802479e-01,-9.321963789585518967e-01,-8.195397016585879157e-01,5.804049168344445064e-01
4.694935687864745799e-01,-9.347505535229601037e-01,-8.218975725700587986e-01,5.823465497393751633e-01
4.712388980384689119e-01,-9.373001238725362505e-01,-8.242513648089548894e-01,5.842876571020503285e-01
4.729842272904632439e-01,-9.398451030550916130e-01,-8.266010872635147777e-01,5.862282430820395795e-01
4.747295565424575758e-01,-9.423855040645090497e-01,-8.289467488055692890e-01,5.881683118013976141e-01
4.764748857944519078e-01,-9.449213398412945608e-01,-8.312883582906209767e-01,5.901078673451252143e-01
4.782202150464462398e-01,-9.474526232731159681e-01,-8.336259245579280552e-01,5.920469137616342081e-01
